code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
99;Addis Abeba;18;12;12;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0
100;Akkra;9;9;9;0;0;0;1;0;1;1;0;0;0;0;0;3;0;0;1;0;0;0;1;0;1;0;0;0;0
103;Pretoria;71;28;28;2;0;0;1;0;2;0;0;0;0;0;0;5;0;0;9;4;0;0;4;0;0;0;0;1;0
106;Nairobi;14;13;13;2;0;0;0;0;3;0;0;0;2;0;0;1;0;0;1;2;0;0;1;1;0;0;0;0;0
101;Rabat;19;17;17;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;8;0;0;0;4;0;0;0;0;0;0
102;Abuja;10;6;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0
98;Dakar;9;9;9;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0
104;Tunis;14;14;14;3;0;0;1;0;3;1;0;0;0;0;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0
107;Lusaka;26;14;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;8;1;0;0;3;0;0;0;0;0;0
108;Canberra;50;35;34;6;0;0;2;0;6;0;3;0;1;0;0;2;0;0;2;4;0;0;5;0;0;0;0;3;0
109;Sydney;375;146;146;22;0;0;3;0;15;0;10;0;5;0;0;37;0;0;26;8;0;1;5;0;1;0;0;13;0
